DATE,BOGMBASEW
2017-06-21,3796940
2017-06-28,3678956
2017-07-05,3678956
2017-07-12,3800874
2017-07-19,3800874
2017-07-26,3837609
2017-08-02,3837609
2017-08-09,3899869
2017-08-16,3899869
2017-08-23,3928393
2017-08-30,3928393
2017-09-06,3939817
2017-09-13,3939817
2017-09-20,3832060
2017-09-27,3832060
2017-10-04,3789419
2017-10-11,3789419
2017-10-18,3846529
2017-10-25,3846529
2017-11-01,3865364
2017-11-08,3865364
2017-11-15,3930997
2017-11-22,3930997
2017-11-29,3909398
2017-12-06,3909398
2017-12-13,3914106
2017-12-20,3914106
2017-12-27,3738744
2018-01-03,3738744
2018-01-10,3854014.0
2018-01-17,3854014.0
2018-01-24,3814017.0
2018-01-31,3814017.0
2018-02-07,3860728.0
2018-02-14,3860728.0
2018-02-21,3849385.0
2018-02-28,3849385.0
2018-03-07,3859796.0
2018-03-14,3859796.0
2018-03-21,3753156.0
2018-03-28,3753156.0
2018-04-04,3745837.0
2018-04-11,3745837.0
2018-04-18,3738060.0
2018-04-25,3738060.0
2018-05-02,3655305.0
2018-05-09,3655305.0
2018-05-16,3681430.0
2018-05-23,3681430.0
2018-05-30,3684954.0
2018-06-06,3684954.0
2018-06-13,3675501.0
2018-06-20,3675501.0
2018-06-27,3594782.0
2018-07-04,3594782.0
2018-07-11,3632990.0
2018-07-18,3632990.0
2018-07-25,3609650.0
2018-08-01,3609650.0
2018-08-08,3607124.0
2018-08-15,3607124.0
2018-08-22,3558579.0
2018-08-29,3558579.0
2018-09-05,3594233.0
2018-09-12,3594233.0
2018-09-19,3540988.0
2018-09-26,3540988.0
2018-10-03,3522555.0
2018-10-10,3522555.0
2018-10-17,3526004.0
2018-10-24,3526004.0
2018-10-31,3508164.0
2018-11-07,3508164.0
2018-11-14,3481417.0
2018-11-21,3481417.0
2018-11-28,3443658.0
2018-12-05,3443658.0
2018-12-12,3422687.0
2018-12-19,3422687.0
2018-12-26,3357271.0
2019-01-02,3357271.0
2019-01-09,3368362.0
2019-01-16,3368362.0
2019-01-23,3323403.0
2019-01-30,3323403.0
2019-02-06,3353992.0
2019-02-13,3353992.0
2019-02-20,3347505.0
2019-02-27,3347505.0
2019-03-06,3430110.0
2019-03-13,3430110.0
2019-03-20,3347203.0
2019-03-27,3347203.0
2019-04-03,3343215.0
2019-04-10,3343215.0
2019-04-17,3282052.0
2019-04-24,3282052.0
2019-05-01,3203106.0
2019-05-08,3203106.0
2019-05-15,3245881.0
2019-05-22,3245881.0
2019-05-29,3279010.0
2019-06-05,3279010.0
2019-06-12,3314552.0
2019-06-19,3314552.0
2019-06-26,3222362.0
2019-07-03,3222362.0
2019-07-10,3256883.0
2019-07-17,3256883.0
2019-07-24,3271882.0
2019-07-31,3271882.0
2019-08-07,3292687.0
2019-08-14,3292687.0
2019-08-21,3257731.0
2019-08-28,3257731.0
2019-09-04,3235621.0
2019-09-11,3235621.0
2019-09-18,3159026.0
2019-09-25,3159026.0
2019-10-02,3252373.0
2019-10-09,3252373.0
2019-10-16,3235853.0
2019-10-23,3235853.0
2019-10-30,3282965.0
2019-11-06,3282965.0
2019-11-13,3311715.0
2019-11-20,3311715.0
2019-11-27,3340473.0
2019-12-04,3340473.0
2019-12-11,3441841.0
2019-12-18,3441841.0
2019-12-25,3436410.0
2020-01-01,3436410.0
2020-01-08,3471580.0
2020-01-15,3471580.0
2020-01-22,3412505.0
2020-01-29,3412505.0
